UtilizationRate,Age,Marriage,Limit,Drawn,EAD
0.243593736537962,25,'not married',447764498544227,109072627289435,447400146243588
0.969458337467235,44,'not married',214046090473935,207508767012222,406776160316022
0,40,'married',165808922722505,0,165668738509089
0.532422766317013,38,'not married',173745790633536,925062144850440,159348963641877
0.258297159508047,30,'not married',262583229969243,678245024355036,541754266501066
0.170394468048724,54,'married',173565874343154,295746648301133,576687561984648
0.185856467341974,27,'not married',195901445109029,364095505351517,998488680424729
0.853716309687857,42,'not married',207118442850032,176820392698225,164544171808677
0,46,'not married',114178294088831,0,216520856760469
0.324645322342547,35,'not married',714651630714863,232008309016053,222448393467695
0.680293232342265,23,'not married',263939401990917,179556188922886,987386649253483
0.889371095001908,34,'married',127207820325249,113134958455473,960644349466711
0,32,'married',110073883691718,0,838089585985025
0.984046108161659,21,'not married',735527991162961,723793457147875,735384312712350
0.191406449932877,27,'married',172710571857293,330579174250816,969489429335049
0,29,'not married',180223751638157,0,873210348576569
0.206559371954057,30,'not married',937175123020608,193582304822103,153627462103194
0,56,'not married',139422789643367,0,403929158093167
0.0313702297424459,22,'not married',226754599573855,711334388378818,328345075300948
0.660638864851794,39,'married',579439895171645,382800514596038,552374791828526
0.971165157734272,31,'married',310269913167913,301323329161915,303589465028147
0.727067609776920,23,'not married',545394426614379,396538622144171,392108710518653
0.861884705080134,33,'married',667010138797037,574885836762543,631364868472707
0.00511567067133409,49,'married',454354736705098,232432920094399,241487769576197
0.449573268788449,34,'not married',264043053943328,118706698862187,208848402784940
0.0898469119680945,24,'not married',444488085455318,399358818847708,102856038336202
0.752380688255594,29,'married',311034927650355,234016672937103,261890271094651
0.556228310710081,38,'married',448819733811925,249646242351555,192167095569466
0.266130358992401,20,'not married',156735763511842,417121450103547,152298933180312
0.583652564082085,24,'not married',202283823014270,118063471974605,200629109387391
0.229900702703233,26,'not married',588334842346126,135258593680170,669955618443466
0.120316826006616,35,'not married',647125487811590,778600847214737,197065107530215
0,37,'not married',781389955597396,0,139832637799720
0.124484089673060,44,'married',365542875445557,455042720863131,189798930068375
0.676265328178088,32,'married',539461953930756,364819415314575,538254267417659
0,22,'not married',177446202738436,0,738251519123838
0.965744093535690,21,'not married',133529591814523,128955414607107,128135372751828
0.289801961809094,26,'married',415507900742505,120415004782356,378183520858207
0.467081587426868,29,'not married',302794665382880,141429812971423,302736193873753
0.367220930180486,47,'married',718966629740745,264019594542126,944209294947688
0.345011949279218,39,'not married',483723630979348,166890432836606,101372925312255
0.928077419258178,45,'married',585533327349450,543420259336132,464234879525984
0.563386853168341,22,'married',794860484446471,447813947040160,421154726169963
0.165025667412380,38,'not married',147768532045983,243856006234360,184055801193708
